record,type,day,month,year,date_group_no,date_group,object_phrases,cushions,mortar,dough_trough,candelabrum,green_dyestuff,ruby_red_dyestuff,spit,lamp,silk,black_dyestuff,gold,purple_dyestuff,sendal,amber,yellow_dyestuff,alexandria,alembic,damascus,pulvinar,coysin,auricula,fluna,transverser
Inventory of Arnulphus de Parisius (ADBR 351E 95),Inventory-Postmortem,7,Jun,1395,3,1350-1399,53,1,1,,1,,,,,,1,,,,,,,1,,0,0,0,0,0
"Inventory of Nicolaua, widow of Jacobus Petri (ADBR 392E 1)",Inventory-Postmortem,14,Mar,1396,3,1350-1399,65,1,1,1,,1,,,1,1,1,1,1,1,1,,,,,0,0,0,0,1
Inventory of Nicholaus Stornelli (AMM 4 II 28),Inventory-Taking up inheritance,19,Jan,1389,3,1350-1399,67,1,1,1,1,1,,1,1,,,1,,,,,,,,1,0,0,1,1
Inventory of Margarita Massaribas (ADBR 351E 95),Inventory-Postmortem,1,1,1396,3,1350-1399,72,1,,,,,1,,1,1,,,,,,,,,,0,0,0,0,1
Inventory of Astrug Mosse (ADBR 3B 128),Inventory-Taking up inheritance,24,Jul,1397,3,1350-1399,74,1,1,1,1,,1,,1,1,,,,,,,,,1,0,0,0,0,0
Inventory of Andreas de Garda (ADBR 392E 1),Inventory-Guardianship,3,Jul,1394,3,1350-1399,95,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,,,1,0,0,0,0
Inventory of Bartholomeus Egidii (ADBR 3B 62),Inventory-Postmortem,14,Sep,1359,3,1350-1399,100,1,,,1,,,,,,,,,,,,,,,1,0,0,0,0
Inventory of Johannes de Favacio (ADBR 3 HD H 8),Inventory-Postmortem,27,Jul,1361,3,1350-1399,167,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,0,0,0,0,0
Inventory of Bernardus de Favacio (ADBR 3 HD H 8),Inventory-Taking up inheritance,27,Jul,1361,3,1350-1399,180,1,1,1,1,1,1,1,,1,,1,,1,,,,,,1,0,0,0,0
Inventory of Antonius Fabri (ADBR 3B 128),Inventory-Postmortem,27,Jul,1397,3,1350-1399,208,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,0,0,0,0
Inventory of Johannes Casse (AMM 3 II 40),Inventory-Postmortem,26,Aug,1391,3,1350-1399,267,1,1,,,1,1,1,,1,1,,,,,1,1,1,,1,0,0,0,0
"Inventory of Marquesius de Favacio (ADBR 3 HD H 12, pièce 7)",Inventory-Postmortem,3,Oct,1373,3,1350-1399,270,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,0,1,1,0
Inventory of Berengarius de Bulbono (AMM 2 II 291),Inventory-Postmortem,23,Sep,1360,3,1350-1399,366,1,1,,1,1,1,1,1,1,1,,,1,,,,1,,1,0,0,0,0
Inventory of Marinus de Berra (AMM FF 1009),Inventory-Postmortem,28,May,1420,4,1400-1449,12,,1,,,,,,,,,,,,,,,,,0,1,0,0,1
Inventory of Laura de Rabesio (ADBR 3B 145),Inventory-Taking up inheritance,14,Nov,1405,4,1400-1449,27,1,1,,1,,,,1,,,,,,,,,,,0,0,0,0,0
"Inventory of Antonius Bermundi, urban peasant(ADBR 3B 135)",Inventory-Postmortem,22,Jun,1401,4,1400-1449,27,,1,1,,,,,1,,,,,,,,,,,0,0,0,0,0
Inventory of Petrus Saturnini (ADBR 351E 133),Inventory-Postmortem,12,Mar,1400,4,1400-1449,30,,,,1,,1,,,1,,1,,,,,,,,1,0,0,0,1
Inventory of Gabriellus de Nantis (ADBR 351E 169),Inventory-Postmortem,24,Feb,1446,4,1400-1449,33,1,1,,1,,,,,,,,,,,,,,,0,0,1,1,1
Inventory of Antonius Vincentii (ADBR 3B 149),Inventory-Postmortem,11,Feb,1411,4,1400-1449,33,1,,,1,,,,1,,,,,,,,,,,1,0,0,0,0
Inventory of Jacobus de Menas (ADBR 351E 245),Inventory-Postmortem,28,Sep,1434,4,1400-1449,42,1,,,1,1,1,,,,1,,,,,1,,,,0,0,1,0,1
Inventory of Jacobus Fornerii (ADBR 3B 145),Inventory-Taking up inheritance,28,Sep,1405,4,1400-1449,44,,1,,,,,,1,,,,,,,,,,,0,0,1,0,1
Inventory of Sileta Lhautaude (ADBR 351E 211),Inventory-Postmortem,3,Dec,1421,4,1400-1449,57,1,,1,,,1,,,,,1,1,,1,,,,,1,0,0,0,1
Inventory of Martinus Milherie (ADBR 351E 203),Inventory-Postmortem,19,Oct,1444,4,1400-1449,63,1,1,1,,,,,1,,1,,,,,,,,,0,0,0,0,0
Inventory of Hugueta Biarde (ADBR 355E 309),Inventory-Postmortem,14,Jan,1411,4,1400-1449,75,1,1,1,,1,1,,,1,,1,1,,1,,,,,1,0,0,0,0
Inventory of Fossa (ADBR 3B 150),Inventory-Postmortem,2,Jul,1412,4,1400-1449,77,1,1,,,1,1,,1,1,,1,1,1,1,,,,,1,0,1,0,0
Inventory of Bertrandus Fulconis (ADBR 355E 309),Inventory-Guardianship,7,Oct,1410,4,1400-1449,79,1,1,,1,,,,1,1,1,1,,,,,,,,1,0,0,0,0
Inventory of Guillelmus de Cavallione (ADBR 3B 145),Inventory-Taking up inheritance,12,Nov,1405,4,1400-1449,84,1,,1,1,1,1,1,,,,,1,1,,,,,,1,0,1,0,0
"Inventory of Antonius Bermundi, vintner (ADBR 3B 144)",Inventory-Postmortem,1,1,1405,4,1400-1449,86,1,1,1,1,,1,,1,,1,,,,,,,,,1,0,1,0,1
Inventory of the priest Guillelmus Valencie (ADBR 5G 775),Inventory-Taking up inheritance,5,Jul,1407,4,1400-1449,88,1,1,,1,,,1,1,,1,,,,,,,,,1,1,0,0,0
Inventory of Arnulphus Ruffi (ADBR 355E 309),Inventory-Guardianship,22,Aug,1410,4,1400-1449,89,1,1,1,1,,,1,,1,,,1,,1,,,,,1,0,1,0,0
Inventory of Guillelmus Vesini (ADBR 3B 145),Inventory-Taking up inheritance,22,May,1405,4,1400-1449,97,1,1,1,1,1,,,,,,,,,,,,,,1,0,0,0,0
Inventory of the priest Raymundus Adsami (AMM FF 1009),Inventory-Postmortem,25,Oct,1420,4,1400-1449,109,1,1,1,,,,,1,,1,,,,,,,1,,1,0,0,0,0
Inventory of Bertrandus de Vellancio (ADBR 351E 142),Inventory-Postmortem,23,Mar,1415,4,1400-1449,117,1,1,1,1,,,1,1,,,,,,,,,,,0,0,0,0,1
Inventory of Catharina Raynauda (ADBR 351E 195),Inventory-Postmortem,9,Oct,1433,4,1400-1449,118,1,1,1,1,1,,1,1,,,,,,,,,,,1,0,0,0,0
Inventory of Antonius Stephani (ADBR 355E 309),Inventory-Postmortem,11,Apr,1410,4,1400-1449,122,1,1,1,1,1,1,1,1,1,,,,,,,,,,0,0,0,0,0
Inventory of Guillelmus Bertrandi (ADBR 3B 145),Inventory-Guardianship,21,Nov,1405,4,1400-1449,124,1,1,,1,1,1,1,1,1,,1,,,,1,,,,1,0,0,0,0
Inventory of Dulcia de Monteolivo (ADBR 5G 775),Inventory-Taking up inheritance,7,May,1409,4,1400-1449,137,1,1,1,1,1,1,1,1,1,,,,1,,,,,,1,1,0,0,0
Inventory of Johannes Ricavi (ADBR 355E 309),Inventory-Taking up inheritance,18,Dec,1410,4,1400-1449,142,1,1,1,,1,1,1,1,,1,1,,1,,1,,,,0,0,0,0,0
Inventory of Gogonetus (ADBR 3B 150),Inventory-Postmortem,23,Dec,1412,4,1400-1449,143,,1,1,1,1,1,,,,1,,1,1,,1,,,,1,0,0,0,0
Inventory of Antonius Bellipili (ADBR 355E 309),Inventory-Postmortem,24,Jan,1410,4,1400-1449,161,1,1,1,1,1,1,1,,1,1,1,1,,1,,,,,0,1,0,0,0
Inventory of Jacobus Trelhe (ADBR 355E 309),Inventory-Taking up inheritance,18,Sep,1410,4,1400-1449,174,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,,0,0,1,0,1
Inventory of Bartholomeus de Brachio (ADBR 3 B 155),Inventory-Guardianship,21,Nov,1421,4,1400-1449,218,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,0,0,1,0
Inventory of Laurencius Vassalli (ADBR 3B 145),Inventory-Guardianship,17,Jun,1405,4,1400-1449,261,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,,1,0,0,0,0
Inventory of Rixendis Cambale (ADBR 355E 309),Inventory-Guardianship,2,Jun,1410,4,1400-1449,303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,0,0,0,0
Inventory of Philipponus Colini (ADBR 5G 771),Inventory-Postmortem,27,Apr,1400,4,1400-1449,401,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,1,0,0,0,0
